id,name_en,name_en_override,name_ka,name_ka_override,name_ru_override,lat,lat_override,lon,lon_override,rotation,rotation_override,mergeParent,hubTarget,vehicleMode_override,provider_override,gondolaInfo_override
1:799,Station Square,,სადგურის მოედანი,,,41.720675,,44.798547,,328,,,HUB_1_799,,,
1:801,Public School #24,,#24-ე საჯარო სკოლა,,,41.716785,,44.791898,,150,,,,,,
1:802,General Giorgi Kvinitadze Street,,გენერალ გიორგი კვინიტაძის ქუჩა,,,41.717996,41.71796,44.789857,44.78976,248,,,,,,
1:803,Heroes Square (Saburtalo direction),,გმირთა მოედანი,,,41.713774,,44.782301,,270,,,HUB_1_3558,,,
1:804,Zoo,,ზოოპარკი,,,41.713526,,44.780826,,123,,,,,,
1:806,Simon Janashia Street,,სიმონ ჯანაშიას ქუჩა,,,41.708005,,44.782879,,116,,1:4359,,,,
1:809,Tbilisi Concert Hall,,ფილარმონია,,,41.706992,41.70696,44.786944,44.78702,320,,,HUB_1_809,,,
1:810,Merab Kostava St #47,,მერაბ კოსტავას ქუჩა #47,,,41.709889,,44.784586,,334,,,,,,
1:811,Heroes Square (Saburtalo direction),,გმირთა მოედანი,,,41.714769,41.71474,44.784136,44.78418,45,,,,,,
1:813,Mikheil Tsinamdzghvrishvili Street,,მიხეილ წინამძღვრიშვილის ქუჩა,,,41.719556,41.71949,44.794267,44.79426,62,,,,,,
1:814,"M/S ""Rustaveli""",,"მ/ს ""რუსთაველი""",,,41.703223,,44.791209,,127,,,,,,
1:815,"M/S ""Rustaveli""",,"მ/ს ""რუსთაველი""",,,41.70334,,44.791208,,306,,,,,,
1:817,Opera Theater,,ოპერის თეატრი,,,41.700768,41.7008,44.795693,44.79576,317,,,,,,
1:818,Opera Theater,,ოპერის თეატრი,,,41.700712,,44.795598,,138,,,,,,
1:819,Tbilisi First Public School,,პირველი კლასიკური გიმნაზია,,,41.698033,,44.798617,,334,,,,,,
1:820,Tbilisi First Public School,,პირველი კლასიკური გიმნაზია,,,41.69788,,44.798582,,153,,,,,,
1:821,"M/S ""Freedom Square""",,"მ/ს ""თავისუფლების მოედანი""",,,41.695413,41.69532,44.800103,44.80007,163,,,,,,
1:822,Freedom Square,,თავისუფლების მოედანი,,,41.694033,,44.801559,,276,,,,,,
1:824,Nikoloz Baratashvili Street,,ნიკოლოზ ბარათაშვილის ქუჩა,,,41.696663,,44.804746,,259,,,HUB_1_3983,,,
1:825,"M/S ""Avlabari""",,"მ/ს ""ავლაბარი""",,,41.692227,41.692214,44.814762,44.814755,296,,,HUB_1_825,,,
1:826,Public School #202 the Visually Impaired,,#202-ე უსინათლო და მცირემხედველთა საჯარო სკოლა,,,41.689236,,44.820131,,125,,1:4325,,,,
1:828,Public School #89,,#89-ე საჯარო სკოლა,,,41.687299,41.68732,44.824994,44.82498,91,,,,,,
1:829,Public School #89,,#89-ე საჯარო სკოლა,,,41.687508,41.6875,44.82461,44.82467,272,,,,,,
1:830,"M/S ""300 Aragveli""",,"მ/ს ""300 არაგველი""",,,41.687475,,44.827035,,271,,,,,,
1:831,"M/S ""300 Aragveli""",,"მ/ს ""300 არაგველი""",,,41.687311,,44.827032,,90,,1:4350,,,,
1:832,Public School #96,,#96-ე საჯარო სკოლა,,,41.687295,,44.830707,,89,,,,,,
1:836,"M/S ""Samgori""",,"მ/ს ""სამგორი""",,,41.686646,,44.855885,,105,,,,,,
1:837,"M/S ""Samgori""",,"მ/ს ""სამგორი""",,,41.687011,,44.856606,,274,,,,,,
1:838,Giorgi Abashvili Street,,გიორგი აბაშვილის ქუჩა,,,41.684328,,44.887682,,74,,,,,,
1:839,Akaki Vasadze Street,,აკაკი ვასაძის ქუჩა,,,41.684384,,44.881382,,270,,,,,,
1:841,Airport Settlement,,აეროპორტის დასახლება,,,41.683451,,44.954577,,147,,,,,,
1:842,Airport Settlement,,აეროპორტის დასახლება,,,41.682842,,44.955422,,327,,,,,,
1:844,Shindisi Street,,შინდისის ქუჩა,,,41.689581,,44.792832,,72,,,,,,
1:845,Gergeti Street,,გერგეთის ქუჩა,,,41.689871,,44.794178,,89,,,,,,
1:846,Gizo Nishnianidze Street,,გიზო ნიშნიანიძის ქუჩა,,,41.68944,,44.796686,,89,,,,,,
1:847,Ivane Machabeli Street,,ივანე მაჩაბლის ქუჩა,,,41.689567,,44.799757,,87,,,,,,
1:848,Shalva Dadiani St #32,,შალვა დადიანის ქუჩა #32,,,41.689983,,44.802246,,359,,,,,,
1:851,Nikoloz Baratashvili Street,,ნიკოლოზ ბარათაშვილის ქუჩა,,,41.69638,,44.804341,,85,,,HUB_VAKE,,,
1:853,Sulkhan-Saba Street,,სულხან-საბას ქუჩა,,,41.692531,,44.799247,,248,,,,,,
