id,name_en,name_en_override,name_ka,name_ka_override,name_ru_override,lat,lat_override,lon,lon_override,rotation,rotation_override,mergeParent,hubTarget
1:799,Station Square,Station Square,სადგურის მოედანი,სადგურის მოედანი,,41.720675,41.720675,44.798547,44.798547,331,,,HUB_1_799
1:801,Public School #24,Public School #24,#24-ე საჯარო სკოლა,#24-ე საჯარო სკოლა,,41.716785,41.716785,44.791898,44.791898,150,,,
1:802,General Giorgi Kvinitadze Street,General Giorgi Kvinitadze Street,გენერალ გიორგი კვინიტაძის ქუჩა,გენერალ გიორგი კვინიტაძის ქუჩა,,41.717996,41.71796,44.789857,44.78976,244,,,
1:803,Heroes Square (Saburtalo direction),Heroes Square (Saburtalo direction),გმირთა მოედანი,გმირთა მოედანი,,41.713774,41.713774,44.782301,44.782301,273,,,HUB_1_3558
1:804,Zoo,Zoo,ზოოპარკი,ზოოპარკი,,41.713526,41.713526,44.780826,44.780826,123,,,
1:806,Simon Janashia Street,Simon Janashia Street,სიმონ ჯანაშიას ქუჩა,სიმონ ჯანაშიას ქუჩა,,41.708005,41.708005,44.782879,44.782879,116,,1:4359,
1:809,Tbilisi Concert Hall,Tbilisi Concert Hall,ფილარმონია,ფილარმონია,,41.706992,41.70696,44.786944,44.78702,312,,,HUB_1_809
1:810,Merab Kostava St #47,Merab Kostava St #47,მერაბ კოსტავას ქუჩა #47,მერაბ კოსტავას ქუჩა #47,,41.709889,41.709889,44.784586,44.784586,334,,,
1:811,Heroes Square (Saburtalo direction),Heroes Square (Saburtalo direction),გმირთა მოედანი,გმირთა მოედანი,,41.714769,41.71474,44.784136,44.78418,45,,,
1:813,Mikheil Tsinamdzghvrishvili Street,Mikheil Tsinamdzghvrishvili Street,მიხეილ წინამძღვრიშვილის ქუჩა,მიხეილ წინამძღვრიშვილის ქუჩა,,41.719556,41.71949,44.794267,44.79426,65,,,
1:814,"M/S ""Rustaveli""","M/S ""Rustaveli""","მ/ს ""რუსთაველი""","მ/ს ""რუსთაველი""",,41.703223,41.703223,44.791209,44.791209,127,,,
1:815,"M/S ""Rustaveli""","M/S ""Rustaveli""","მ/ს ""რუსთაველი""","მ/ს ""რუსთაველი""",,41.70334,41.70334,44.791208,44.791208,306,,,
1:817,Opera Theater,Opera Theater,ოპერის თეატრი,ოპერის თეატრი,,41.700768,41.7008,44.795693,44.79576,317,,,
1:818,Opera Theater,Opera Theater,ოპერის თეატრი,ოპერის თეატრი,,41.700712,41.700712,44.795598,44.795598,138,,,
1:819,Tbilisi First Public School,Tbilisi First Public School,პირველი კლასიკური გიმნაზია,პირველი კლასიკური გიმნაზია,,41.698033,41.698033,44.798617,44.798617,334,,,
1:820,Tbilisi First Public School,Tbilisi First Public School,პირველი კლასიკური გიმნაზია,პირველი კლასიკური გიმნაზია,,41.69788,41.69788,44.798582,44.798582,153,,,
1:821,"M/S ""Freedom Square""","M/S ""Freedom Square""","მ/ს ""თავისუფლების მოედანი""","მ/ს ""თავისუფლების მოედანი""",,41.695413,41.69532,44.800103,44.80007,165,,,
1:822,Freedom Square,Freedom Square,თავისუფლების მოედანი,თავისუფლების მოედანი,,41.694033,41.694033,44.801559,44.801559,276,,,
1:824,Nikoloz Baratashvili Street,Nikoloz Baratashvili Street,ნიკოლოზ ბარათაშვილის ქუჩა,ნიკოლოზ ბარათაშვილის ქუჩა,,41.696663,41.696663,44.804746,44.804746,264,,,HUB_1_3983
1:825,"M/S ""Avlabari""","M/S ""Avlabari""","მ/ს ""ავლაბარი""","მ/ს ""ავლაბარი""",,41.692227,41.692214,44.814762,44.814755,319,,,HUB_1_825
1:826,Public School #202 the Visually Impaired,Public School #202 the Visually Impaired,#202-ე უსინათლო და მცირემხედველთა საჯარო სკოლა,#202-ე უსინათლო და მცირემხედველთა საჯარო სკოლა,,41.689236,41.689236,44.820131,44.820131,125,,1:4325,
1:828,Public School #89,Public School #89,#89-ე საჯარო სკოლა,#89-ე საჯარო სკოლა,,41.687299,41.68732,44.824994,44.82498,91,,,
1:829,Public School #89,Public School #89,#89-ე საჯარო სკოლა,#89-ე საჯარო სკოლა,,41.687508,41.6875,44.82461,44.82467,271,,,
1:830,"M/S ""300 Aragveli""","M/S ""300 Aragveli""","მ/ს ""300 არაგველი""","მ/ს ""300 არაგველი""",,41.687475,41.687475,44.827035,44.827035,271,,,
1:831,"M/S ""300 Aragveli""","M/S ""300 Aragveli""","მ/ს ""300 არაგველი""","მ/ს ""300 არაგველი""",,41.687311,41.687311,44.827032,44.827032,90,,1:4350,
1:832,Public School #96,Public School #96,#96-ე საჯარო სკოლა,#96-ე საჯარო სკოლა,,41.687295,41.687295,44.830707,44.830707,89,,,
1:836,"M/S ""Samgori""","M/S ""Samgori""","მ/ს ""სამგორი""","მ/ს ""სამგორი""",,41.686646,41.686646,44.855885,44.855885,105,,,
1:837,"M/S ""Samgori""","M/S ""Samgori""","მ/ს ""სამგორი""","მ/ს ""სამგორი""",,41.687011,41.687011,44.856606,44.856606,274,,,
1:838,Giorgi Abashvili Street,Giorgi Abashvili Street,გიორგი აბაშვილის ქუჩა,გიორგი აბაშვილის ქუჩა,,41.684328,41.684328,44.887682,44.887682,74,,,
1:839,Akaki Vasadze Street,Akaki Vasadze Street,აკაკი ვასაძის ქუჩა,აკაკი ვასაძის ქუჩა,,41.684384,41.684384,44.881382,44.881382,270,,,
1:841,Airport Settlement,Airport Settlement,აეროპორტის დასახლება,აეროპორტის დასახლება,,41.683451,41.683451,44.954577,44.954577,147,,,
1:842,Airport Settlement,Airport Settlement,აეროპორტის დასახლება,აეროპორტის დასახლება,,41.682842,41.682842,44.955422,44.955422,327,,,
1:844,Shindisi Street,Shindisi Street,შინდისის ქუჩა,შინდისის ქუჩა,,41.689581,41.689581,44.792832,44.792832,72,,,
1:845,Gergeti Street,Gergeti Street,გერგეთის ქუჩა,გერგეთის ქუჩა,,41.689871,41.689871,44.794178,44.794178,89,,,
1:846,Gizo Nishnianidze Street,Gizo Nishnianidze Street,გიზო ნიშნიანიძის ქუჩა,გიზო ნიშნიანიძის ქუჩა,,41.68944,41.68944,44.796686,44.796686,89,,,
1:847,Ivane Machabeli Street,Ivane Machabeli Street,ივანე მაჩაბლის ქუჩა,ივანე მაჩაბლის ქუჩა,,41.689567,41.689567,44.799757,44.799757,87,,,
1:848,Shalva Dadiani St #32,Shalva Dadiani St #32,შალვა დადიანის ქუჩა #32,შალვა დადიანის ქუჩა #32,,41.689983,41.689983,44.802246,44.802246,359,,,
1:851,Nikoloz Baratashvili Street,Nikoloz Baratashvili Street,ნიკოლოზ ბარათაშვილის ქუჩა,ნიკოლოზ ბარათაშვილის ქუჩა,,41.69638,41.69638,44.804341,44.804341,83,,,HUB_VAKE
1:853,Sulkhan-Saba Street,Sulkhan-Saba Street,სულხან-საბას ქუჩა,სულხან-საბას ქუჩა,,41.692531,41.692531,44.799247,44.799247,248,,,
1:855,Mikheil Lermontov Street,Mikheil Lermontov Street,მიხეილ ლერმონტოვის ქუჩა,მიხეილ ლერმონტოვის ქუჩა,,41.691351,41.691351,44.798435,44.798435,175,,,
1:856,Last Rise,Last Rise,ბოლო აღმართი,ბოლო აღმართი,,41.689515,41.689515,44.789991,44.789991,300,,,
1:857,Gergeti Street,Gergeti Street,გერგეთის ქუჩა,გერგეთის ქუჩა,,41.689945,41.689945,44.794908,44.794908,270,,,
1:858,Amaghleba Street,Amaghleba Street,ამაღლების ქუჩა,ამაღლების ქუჩა,,41.690592,41.690592,44.797248,44.797248,178,,,
1:859,Shindisi Street,Shindisi Street,შინდისის ქუჩა,შინდისის ქუჩა,,41.689595,41.689595,44.792542,44.792542,253,,,
1:861,Maro Makashvili Rise #15,Maro Makashvili Rise #15,მარო მაყაშვილის აღმართი #15,მარო მაყაშვილის აღმართი #15,,41.685115,41.685115,44.795033,44.795033,30,,,
1:864,Dedaena Park,Dedaena Park,დედაენის ბაღი,დედაენის ბაღი,,41.700983,41.700983,44.803125,44.803125,35,,,
1:865,Saarbrücken Square,Saarbrücken Square,ზაარბრიუკენის მოედანი,ზაარბრიუკენის მოედანი,,41.702933,41.702933,44.804599,44.804599,286,,,
