id,shortName,shortName_override,isLoop,longName_en,longName_en_override,longName_ka,longName_ka_override,longName_ru_override,dest0_en,dest0_en_override,dest0_ka,dest0_ka_override,dest0_ru_override,dest1_en,dest1_en_override,dest1_ka,dest1_ka_override,dest1_ru_override,invertDirection
1:Gondola_Gondola_1,1,,,Rike - Narikala,,რიყე - ნარიყალა,,,,,,,,,,,,,
1:R826,1,,,Mshenebelta-Megobroba-Shartava-Leonidze-Todria-Pirosmani,,მშენებელთა-მეგობრობა-შარტავა-ლეონიძე-თოდრია-ფიროსმანი,,,,,,,,,,,,,
1:Gondola_Gondola_2,2,,,Vake - Turtle Lake,,ჭავჭავაძის გამზ. - კუს ტბა,,,,,,,,,,,,,
1:R846,2,,,Megobroba-Todria-Aghmashenebeli-Shartava-Gagarini-Balanchivadze,,მეგობრობა-თოდრია-აღმაშენებელი-შარტავა-გაგარინი-ბალანჩივაძე,,,,,,,,,,,,,
1:Gondola_Gondola_3,3,,,University - Bagebi,,უნივერსიტეტი - ბაგები,,,,,,,,,,,,,
1:R1572,3,,,Shartava-Megobroba-Metallurgical Plant-Rustaveli,,შარტავა-მეგობრობა-მეტ. ქარხანა-რუსთაველი,,,,,,,,,,,,,
1:R854,4,,,Megobroba-Todria-Shartava-Aghmashenebeli-Rustaveli-Gareji,,მეგობრობა-თოდრია-შარტავა-აღმაშენებელი-რუსთაველი-გარეჯი,,,,,,,,,,,,,
1:R835,5,,,Tbilisi Str.-20 Microdistrict-Aghmashenebeli-11 Microdistrict-Leonidze,,თბილისის ქ.-20 მკ/რ-აღმაშენებელი -11 მკ/რ-ლეონიძე,,,,"19th M/D, Aghmashenebeli",,,,Metallurgical Plant,,,,,true
1:R1681,6,,,Embankment-11 Microdistrict-Agmashenebeli-Shartava-Leonidze-12 Microdistrict-Pirosmani-Gagarini,,სანაპირო-11 მკ/რ-აღმაშენებელი-შარტავა-ლეონიძე-12 მკრ.-ფიროსმანი-გაგარინი,,,,,,,,,,,,,
1:R769,7,,,Rcheulishvili Str.-Batumi Str.-Megobroba-Meskhishvili-Leonidze,,რჩეულიშვილი-ბათუმის ქ.-მეგობრობა-მესხიშვილი-ლეონიძე,,,,,,,,,,,,,
1:R2367,8,,,Auto Fair - Kutaisi Square,,ავტობაზრობა-ქუთაისის მოედანი,,,,,,,,,,,,,
1:R12237,10,,,Rustavi Cemetery,,რუსთავის სასაფლაო,,,,,,,,,,,,,
1:R24956,10ა,,,Rustavi Cemetery,,რუსთავის სასაფლაო,,,,,,,,,,,,,
1:R2401,20,,,Rustavi - M/S Isani,,რუსთავი - თბილისი(ისანი),,,,M/S Isani,,,,M/S Isani,,,,,
1:R11746,21,,,Rustavi - Tbilisi Sports Palace,,რუსთავი-თბილისი(სპორტის სასახლე),,,,,,,,,,,,,
1:R15903,22,,,Rustavi - M/S Didube,,რუსთავი-თბილისი(დიდუბე),,,,,,,,,,,,,
1:R15907,23,,,Rustavi - TSU Maghlivi Building,,რუსთავი-თბილისი(უნივერსიტეტის მაღლივი კორპუსი),,,,Rustavi,,,,TSU Maghlivi Building,,,,,
1:R16671,24,,,Rustavi - M/S Station Square,,რუსთავი-თბილისი(რკ.სადგური),,,,M/S Station Square,,,,Rustavi,,,,,true
1:R216088,101,,,Krtsanisi Vill. - Varketili-3 IV M/D,,სოფ. კრწანისი - ვარკეთილი-3 IV მ/რ,,,Varketili IV M/D,,ვარკეთილის IV მ/რ,,,Agrarian Univ. Dorm.,,აგრარულის საერთო საცხოვრებელი,,,
1:R216082,102,,,#6 Penitentiary Institution - Baratashvili St,,№6-ე სასჯელ-აღსრულების დაწესებულება - ბარათაშვილის ქ.,,,Baratashvili St,,ბარათაშვილის ქ.,,,Prison Establishment #6,,№6-ე სასჯელ-აღსრულების დაწესებულება,,,
1:R216109,107,,,Tsodoreti Vill. - M/S Delisi,,სოფ. წოდორეთი - მ/ს დელისი,,,M/S Delisi,,მ/ს დელისი,,,Tsodoreti,,წოდორეთი,,,
1:R239274,174,,true,M/S Samgori (Upper Exit)-M/S Varketili,,მ/ს სამგორი(ზედა)-მ/ს ვარკეთილი,,,M/S Samgori-Varketili,,მ/ს სამგორი-ვარკეთილი,,,"M/S ""Samgori""",,"მ/ს ""სამგორი""",,,
1:R113218,292,,,M/S Akhmeteli Theatre - Tbilisi Mall,,მ/ს ახმეტელის თეატრი - თბილისი მოლი,,,Tbilisi Mall,,თბილისი მოლი,,,M/S Akhmeteli Theatre,,მ/ს ახმეტელის თეატრი,,,
1:R101490,293,,true,M/S Sarajishvili - Didi Dighomi I-II M/D,,მ/ს სარაჯიშვილი - დიდი დიღმის I-II მ/რ.,,,Iberi St - M/S Sarajishvili,,იბერის ქ.-მ/ს სარაჯიშვილი,,,M/S Sarajishvili,,"მ/ს ""სარაჯიშვილი""",,,
